N_agents,sigma,steps,exponent,N_simulations,monopoly%,commune%,dynamic
20,0.1,10000,15.4,5.0,0.9655834416558344,0.0061193880611938,monopoly
20,0.1,10000,15.5,5.0,0.9674232576742324,0.0037996200379962,monopoly
20,0.1,10000,15.6,5.0,0.9681831816818316,0.0038396160383961,monopoly
20,0.1,10000,15.7,5.0,0.9683031696830318,0.0054194580541945,monopoly
20,0.1,10000,15.8,5.0,0.9656434356564344,0.0023597640235976,monopoly
20,0.1,10000,15.9,5.0,0.9638436156384362,0.0058594140585941,monopoly
20,0.1,10000,16.0,5.0,0.9654634536546344,0.004959504049595,monopoly
20,0.1,10000,16.1,5.0,0.9648035196480352,0.0034796520347965,monopoly
20,0.1,10000,16.2,5.0,0.9634636536346368,0.002999700029997,monopoly
20,0.1,10000,16.3,5.0,0.9697830216978304,0.0026597340265973,monopoly
20,0.1,10000,16.4,5.0,0.965923407659234,0.0034796520347965,monopoly
20,0.1,10000,16.5,5.0,0.972962703729627,0.0023597640235976,monopoly
20,0.1,10000,16.6,5.0,0.9665433456654334,0.0018598140185981,monopoly
20,0.1,10000,16.7,5.0,0.972942705729427,0.0027997200279972,monopoly
20,0.1,10000,16.8,5.0,0.9697430256974302,0.0021997800219978,monopoly
20,0.1,10000,16.9,5.0,0.9676032396760323,0.0033796620337966,monopoly
20,0.1,10000,17.0,5.0,0.9736226377362264,0.0021797820217978,monopoly
20,0.1,10000,17.1,5.0,0.9729627037296272,0.0010198980101989,monopoly
20,0.1,10000,17.2,5.0,0.9684431556844316,0.0016198380161983,monopoly
20,0.1,10000,17.3,5.0,0.9692230776922308,0.0014398560143985,monopoly
20,0.1,10000,17.4,5.0,0.96990300969903,0.0025797420257974,monopoly
20,0.1,10000,17.5,5.0,0.968103189681032,0.0015398460153984,monopoly
20,0.1,10000,17.6,5.0,0.9696230376962304,0.0014198580141985,monopoly
20,0.1,10000,17.7,5.0,0.9594440555944406,0.0016798320167983,monopoly
20,0.1,10000,17.8,5.0,0.9656834316568343,0.0014998500149985,monopoly
20,0.1,10000,17.9,5.0,0.9686031396860316,0.0014198580141985,monopoly
20,0.1,10000,18.0,5.0,0.9694030596940306,0.0016398360163983,monopoly
