N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1_rel,error
4,1.0,0.5,0.9,1.0,0.1,10000,500.0,0.3789637922784336,0.0041476698307924
4,1.0,0.5,0.92,1.0,0.1,10000,500.0,0.3771397847396515,0.0043082759593998
4,1.0,0.5,0.94,1.0,0.1,10000,500.0,0.3718343358323524,0.0043067300130174
4,1.0,0.5,0.96,1.0,0.1,10000,500.0,0.3764322904106984,0.0044817069829839
4,1.0,0.5,0.98,1.0,0.1,10000,500.0,0.3708481488668976,0.0045518536767152
4,1.0,0.5,1.0,1.0,0.1,10000,500.0,0.3663255362386596,0.0045337463209768
4,1.0,0.5,1.02,1.0,0.1,10000,500.0,0.3680833040947295,0.0045444972109992
4,1.0,0.5,1.04,1.0,0.1,10000,500.0,0.3749253653472215,0.0043316694079542995
4,1.0,0.5,1.06,1.0,0.1,10000,500.0,0.3728753875454338,0.0044715509650689
4,1.0,0.5,1.08,1.0,0.1,10000,500.0,0.3631219582023869,0.0047076120729642
4,1.0,0.5,1.1,1.0,0.1,10000,500.0,0.3614901226334021,0.0046167001394453
4,1.0,0.5,1.14,1.0,0.1,10000,500.0,0.3637203500917763,0.0046513992994815
4,1.0,0.5,1.16,1.0,0.1,10000,500.0,0.3582284379997818,0.0045311887914192
4,1.0,0.5,1.18,1.0,0.1,10000,500.0,0.3603263586709542,0.0046069749335097
4,1.0,0.5,1.2,1.0,0.1,10000,500.0,0.3716346392943494,0.0044929351060981
4,1.0,0.5,1.22,1.0,0.1,10000,500.0,0.3690626237074383,0.004506779917969499
4,1.0,0.5,1.24,1.0,0.1,10000,500.0,0.3757256497262157,0.0048184010695313
4,1.0,0.5,1.26,1.0,0.1,10000,500.0,0.3587608589390386,0.0046620378136245
4,1.0,0.5,1.28,1.0,0.1,10000,500.0,0.3680002016080593,0.0045746467764271
4,1.0,0.5,1.3,1.0,0.1,10000,500.0,0.3552074189787642,0.0047011477209121
4,1.0,0.5,1.32,1.0,0.1,10000,500.0,0.3574829766714396,0.0044697321968049
4,1.0,0.5,1.34,1.0,0.1,10000,500.0,0.3636584040729618,0.0047124082511631
4,1.0,0.5,1.38,1.0,0.1,10000,500.0,0.3544592956046613,0.004693092470401499
4,1.0,0.5,1.4,1.0,0.1,10000,500.0,0.3654844386144454,0.0046073870708722
4,1.0,0.5,1.42,1.0,0.1,10000,500.0,0.3678166071160553,0.004909504683920099
4,1.0,0.5,1.44,1.0,0.1,10000,500.0,0.3642210519527579,0.0046557945156085
4,1.0,0.5,1.46,1.0,0.1,10000,500.0,0.3540287099023462,0.004674905869186
4,1.0,0.5,1.48,1.0,0.1,10000,500.0,0.3644554229800949,0.0046610253353879
6,1.0,0.5,0.02,1.0,0.1,10000,500.0,0.1779570208512432,0.0009194662934884999
6,1.0,0.5,0.04,1.0,0.1,10000,500.0,0.2622262759825635,0.0015717102251997998
6,1.0,0.5,0.06,1.0,0.1,10000,500.0,0.3140193848488897,0.0019798741006697
6,1.0,0.5,0.08,1.0,0.1,10000,500.0,0.347881101015701,0.0022376563019316
6,1.0,0.5,0.14,1.0,0.1,10000,500.0,0.3940722854093889,0.0029690444383987
6,1.0,0.5,0.16,1.0,0.1,10000,500.0,0.4045463661867384,0.0031982944625614995
6,1.0,0.5,0.18,1.0,0.1,10000,500.0,0.4002597465513386,0.0031101444820216006
6,1.0,0.5,0.2,1.0,0.1,10000,500.0,0.4137224213679409,0.0033631614885378997
6,1.0,0.5,0.22,1.0,0.1,10000,500.0,0.4217752170718945,0.0033419107301879995
6,1.0,0.5,0.24,1.0,0.1,10000,500.0,0.4238613976758328,0.0034055942425496
6,1.0,0.5,0.26,1.0,0.1,10000,500.0,0.4248249523796203,0.0036703076890974994
6,1.0,0.5,0.28,1.0,0.1,10000,500.0,0.4211376161627579,0.0036396436407036994
6,1.0,0.5,0.3,1.0,0.1,10000,500.0,0.4236444523850795,0.0036209262144057
6,1.0,0.5,0.32,1.0,0.1,10000,500.0,0.4184356249322925,0.0037700757163927
6,1.0,0.5,0.38,1.0,0.1,10000,500.0,0.4279155028769174,0.0038386043305469
6,1.0,0.5,0.4,1.0,0.1,10000,500.0,0.431130676527555,0.0039842845168429
6,1.0,0.5,0.42,1.0,0.1,10000,500.0,0.4230634395068624,0.0039494411463224
6,1.0,0.5,0.44,1.0,0.1,10000,500.0,0.4241817541327917,0.004039496787616799
6,1.0,0.5,0.46,1.0,0.1,10000,500.0,0.4223868842822399,0.0039906715726714
6,1.0,0.5,0.48,1.0,0.1,10000,500.0,0.4234581975899112,0.0041366221621074
6,1.0,0.5,0.5,1.0,0.1,10000,500.0,0.4267358023554212,0.0042002266475046
6,1.0,0.5,0.52,1.0,0.1,10000,500.0,0.42491717070688034,0.0042928181739735
6,1.0,0.5,0.54,1.0,0.1,10000,500.0,0.423525219943109,0.004207567436475899
6,1.0,0.5,0.56,1.0,0.1,10000,500.0,0.4236703954486417,0.004164617195790199
6,1.0,0.5,0.62,1.0,0.1,10000,500.0,0.433493353237847,0.0042666981682613
6,1.0,0.5,0.64,1.0,0.1,10000,500.0,0.4229421625144356,0.0043161703767745
6,1.0,0.5,0.66,1.0,0.1,10000,500.0,0.417634634097868,0.004139888771238699
6,1.0,0.5,0.68,1.0,0.1,10000,500.0,0.4236347802235962,0.004467775597752599
6,1.0,0.5,0.7000000000000001,1.0,0.1,10000,500.0,0.4100284689358605,0.0043910673634529
6,1.0,0.5,0.72,1.0,0.1,10000,500.0,0.4142870493011608,0.0047480456185329
6,1.0,0.5,0.74,1.0,0.1,10000,500.0,0.4177758851025907,0.0044569841490394
6,1.0,0.5,0.76,1.0,0.1,10000,500.0,0.4218541837222165,0.0042279452364636
6,1.0,0.5,0.78,1.0,0.1,10000,500.0,0.4182366818858688,0.0043837562858692
6,1.0,0.5,0.8,1.0,0.1,10000,500.0,0.4260926268130468,0.0043112593917943
6,1.0,0.5,0.86,1.0,0.1,10000,500.0,0.4125974577847048,0.0045277266625392
6,1.0,0.5,0.88,1.0,0.1,10000,500.0,0.4190507917785969,0.004413754523472
6,1.0,0.5,0.9,1.0,0.1,10000,500.0,0.4129749036728919,0.0044310058378109
6,1.0,0.5,0.92,1.0,0.1,10000,500.0,0.4152264625960438,0.004261789807630499
6,1.0,0.5,0.94,1.0,0.1,10000,500.0,0.4208560827718785,0.0046882257872483
6,1.0,0.5,0.96,1.0,0.1,10000,500.0,0.4118003930228485,0.004469142303063699
6,1.0,0.5,0.98,1.0,0.1,10000,500.0,0.4078970823776652,0.0043155904317558
6,1.0,0.5,1.0,1.0,0.1,10000,500.0,0.4049566340209402,0.0043261357635115
6,1.0,0.5,1.02,1.0,0.1,10000,500.0,0.411637726597355,0.0044229688528754
6,1.0,0.5,1.04,1.0,0.1,10000,500.0,0.4102926008172762,0.0044773045781471
6,1.0,0.5,1.1,1.0,0.1,10000,500.0,0.4123744000181026,0.0046407850424902
6,1.0,0.5,1.12,1.0,0.1,10000,500.0,0.4177727298547065,0.004726653930678999
6,1.0,0.5,1.14,1.0,0.1,10000,500.0,0.4104493081979847,0.0043737201656606
6,1.0,0.5,1.16,1.0,0.1,10000,500.0,0.4102675672616246,0.004812790751228399
6,1.0,0.5,1.18,1.0,0.1,10000,500.0,0.4149070794574492,0.0044087968288067
6,1.0,0.5,1.2,1.0,0.1,10000,500.0,0.416630529331058,0.0045273439779971
6,1.0,0.5,1.22,1.0,0.1,10000,500.0,0.407328254256778,0.0043797181049587
6,1.0,0.5,1.24,1.0,0.1,10000,500.0,0.4033967462971604,0.0045597443951907
6,1.0,0.5,1.26,1.0,0.1,10000,500.0,0.4098537313172935,0.0046512271412935
6,1.0,0.5,1.28,1.0,0.1,10000,500.0,0.4075497703969953,0.0045408722088208
