N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1,gamma_1_def,gamma_1_rel,error,rel_error
3,1.0,0.5,0.44,1.0,0.1,10000,100,-0.1727894741312395,-0.5138620355822454,0.34107256145100584,0.00971873920633998,0.02849463810572769
2,1.0,0.5,0.8,1.0,0.1,10000,100,-0.2793298152408406,-0.5049119889850332,0.22558217374419262,0.009348346417188682,0.04144098029567527
2,1.0,0.5,0.54,1.0,0.1,10000,100,-0.24824553919903752,-0.5080122652561081,0.2597667260570706,0.007502546634722519,0.02888186161715806
2,1.0,0.5,1.3800000000000001,1.0,0.1,10000,100,-0.30761925062758827,-0.5184288452558362,0.21080959462824794,0.00997448142517442,0.047315120750380996
2,1.0,0.5,0.26,1.0,0.1,10000,100,-0.26670979311095727,-0.4934709286336279,0.2267611355226706,0.004860926757351681,0.021436330992731806
3,1.0,0.5,0.18,1.0,0.1,10000,100,-0.20064536526959595,-0.4916084536018583,0.2909630883322625,0.005087691128567066,0.017485692627640888
2,1.0,0.5,1.1,1.0,0.1,10000,100,-0.2917384132854545,-0.5086096683727371,0.21687125508728272,0.00943754809161383,0.04351682332366068
3,1.0,0.5,0.46,1.0,0.1,10000,100,-0.17108943244849595,-0.5136423452001119,0.34255291275161576,0.008535653612428655,0.024917766846191836
2,1.0,0.5,0.8200000000000001,1.0,0.1,10000,100,-0.2724630760612534,-0.5234307421032343,0.2509676660419809,0.00948503955581657,0.037793870841632445
2,1.0,0.5,1.4000000000000001,1.0,0.1,10000,100,-0.32056798396194486,-0.5018689503223416,0.18130096636039664,0.009721001133694462,0.05361803264948242
2,1.0,0.5,0.56,1.0,0.1,10000,100,-0.2490862777137612,-0.5124499962660471,0.26336371855228596,0.006664056944073811,0.025303625650132163
2,1.0,0.5,0.28,1.0,0.1,10000,100,-0.27617464572506933,-0.5135125366265874,0.23733789090151802,0.005371985393411971,0.02263433526356331
3,1.0,0.5,0.2,1.0,0.1,10000,100,-0.2048865351436969,-0.5189628273298822,0.31407629218618544,0.0049500254873189355,0.015760583050899443
2,1.0,0.5,1.12,1.0,0.1,10000,100,-0.2875078744817686,-0.5130075942999303,0.2254997198181616,0.010087793630840981,0.04473528232751497
3,1.0,0.5,0.48,1.0,0.1,10000,100,-0.17681210058326546,-0.5079932663028641,0.3311811657195986,0.007950173221592676,0.024005511316799504
2,1.0,0.5,0.84,1.0,0.1,10000,100,-0.2804869694668841,-0.5068382284953177,0.22635125902843356,0.009219230911892017,0.040729753178593654
3,1.0,0.5,0.5,1.0,0.1,10000,100,-0.17201330095451542,-0.5135845822357198,0.3415712812812044,0.008830486966304108,0.02585254513547425
3,1.0,0.5,0.78,1.0,0.1,10000,100,-0.17672464562316237,-0.5015179398016518,0.32479329417848946,0.009168665420010507,0.028229232512946793
3,1.0,0.5,1.06,1.0,0.1,10000,100,-0.18415807397640965,-0.48868587607824404,0.30452780210183433,0.010198143181124681,0.03348838139157624
